phase,item,monthly_cost_usd,notes
Phase1,Claude Code API,3〜15,通常開発$3-5 / 重度利用$10-15
Phase1,Roblox Studio,0,完全無料
Phase1,Open Cloud API,0,リクエスト課金なし
Phase1,Rojo / Selene / Wally / Fusion,0,全OSS無料
Phase1,Roblox Studio MCP Server,0,OSS Rust製
Phase1,GitHub,0,Free Plan
Phase1,合計,3〜15,
Phase2,Claude Code API,5〜15,
Phase2,GitHub Actions,0,月2000分まで無料
Phase2,合計,5〜15,
Phase3,Claude Code API,10〜15,複数ゲーム同時開発
Phase3,Cube Foundation Model,TBD,利用量に応じて
Phase3,合計,10〜15+,
devex,DevEx レート（新）,0.0038/Robux,2025/9/5以降獲得分
devex,DevEx レート（旧）,0.0035/Robux,2025/9/5以前獲得分
devex,最低換金額,30000 Robux,= 約$114
devex,100万 Robux 換金,3800 USD,約57万円
