category,keyword,english_equiv,priority,source,notes
core_keywords,2Dプラットフォーマー,2D platformer,1,WebSearch,"横スクロールアクション全般を指す最重要分類語"
core_keywords,HTML5 Canvas,HTML5 Canvas,1,WebSearch/MDN/W3Schools,"ブラウザゲームの描画基盤。requestAnimationFrameと組み合わせて使用"
core_keywords,JavaScript ゲーム開発,JavaScript game development,1,WebSearch/GitHub,"主要開発言語。バニラJS〜フレームワーク活用まで幅広い"
core_keywords,Phaser.js,Phaser.js,1,phaser.io,"最もメジャーなHTML5ゲームフレームワーク。日本語リソースも豊富"
core_keywords,スプライトアニメーション,sprite animation,1,WebSearch,"キャラクター・敵・コインのアニメーション実装に必須"
core_keywords,コリジョン検出,collision detection,1,WebSearch/MDN,"プラットフォーム踏み込み・敵接触判定の核心ロジック"
core_keywords,ゲームループ,game loop,1,WebSearch/W3Schools,"requestAnimationFrame を使うモダンな実装パターン"
core_keywords,タイルマップ,tilemap,1,phaser.io/mapeditor.org,"マリオ的マップ構築に不可欠。Tiled エディタとの連携が定番"
core_keywords,マリオクローン,mario clone,1,GitHub,"超頻出の実装プロジェクト語。reruns/mario など多数"
core_keywords,ピクセルアート,pixel art,1,itch.io/opengameart.org,"マリオ系グラフィックスタイルの基本分類"

related,Arcade Physics,Arcade Physics,1,phaser.io,"Phaser 3 内蔵の軽量物理エンジン。マリオ系に最適"
related,Matter.js,Matter.js,2,brm.io/matter-js,"2D 剛体物理エンジン。Phaser との統合も可能"
related,Planck.js,Planck.js,2,piqnt.com/planck.js,"Box2D の JS 移植版。高精度物理シミュレーション"
related,melonJS,melonJS,2,melonjs.org,"軽量・依存ゼロの HTML5 ゲームエンジン。Tree-shakeable"
related,KaPlay (Kaboom後継),KaPlay,1,github.com/replit/kaboom,"Replit が Kaboom.js 保守終了後のコミュニティ公式フォーク"
related,enchant.js,enchant.js,3,WebSearch,"日本発の2Dゲーム開発フレームワーク（2011年〜）"
related,Pixi.js,Pixi.js,2,WebSearch,"高速2D描画ライブラリ。ゲームエンジンではなくレンダラー"
related,Excalibur.js,Excalibur.js,2,WebSearch,"TypeScript 製ゲームエンジン。型安全な開発"
related,Kontra.js,Kontra.js,3,WebSearch,"超軽量ゲームライブラリ"
related,requestAnimationFrame,requestAnimationFrame,1,MDN,"モダンゲームループの標準API。setInterval は非推奨"
related,WebGL / WebGL2,WebGL,2,WebSearch,"ハードウェアアクセラレーション描画。Phaser/Pixi が自動フォールバック"
related,AABB 衝突判定,AABB collision,1,WebSearch,"矩形衝突判定アルゴリズム。プラットフォーマーの基本"
related,Tiled マップエディタ,Tiled map editor,1,mapeditor.org,"タイルマップ作成の業界標準ツール。JSON/TMX 出力"
related,Aseprite / Piskel,Aseprite / Piskel,2,WebSearch,"ピクセルアート制作ツール"
related,Howler.js,Howler.js,2,howlerjs.com,"Web Audio API ラッパー。クロスブラウザ音声再生"
related,p5.js,p5.js,3,WebSearch,"クリエイティブコーディング。教育用途での利用実績あり"
